VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDC4DLC1P,King,Seattle,WA,98115,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46,238416405,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000
WBY73AW0XN,King,Seattle,WA,98104,2022,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,212271720,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008401
7SAYGDEE5P,Snohomish,Mill Creek,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,227102865,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052008
JTDKN3DP3D,King,Bellevue,WA,98007,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,48,245352432,POINT (-122.12056 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300
5YJ3E1EC7P,Snohomish,Lake Stevens,WA,98258,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,244687593,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052505
WBY73AW08P,King,Seattle,WA,98107,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,245574395,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003400
7SAYGDEE7P,Snohomish,Lynnwood,WA,98087,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,245454646,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041816
W1KCG2DB8N,King,Kirkland,WA,98033,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,192872445,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022702
1G1RH6E48E,Clark,Camas,WA,98607,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,18,131966341,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040609
YV4ED3GL2P,Thurston,Olympia,WA,98501,2023,VOLVO,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,225800543,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011821
